"ID","BAND_ID","MEMBER_ID"
105,"6706f0a390b652736e310735","6706f1d415c2b9798b2b0965"
106,"6706f0a390b652736e310735","6706f1d515c2b9798b2b0967"
107,"6706f0a390b652736e310735","6706f1d515c2b9798b2b0968"
160,"6706f0a290b652736e310733","6706f0df45fe7efa4ac730d0"
202,"6706f1e115c2b9798b2b097b","6706f24c15c2b9798b2b09ec"
110,"6706f0a390b652736e310735","6706f0299ded543374d12d8e"
111,"6706f0a490b652736e310736","6706f1da15c2b9798b2b0972"
113,"6706f0ad90b652736e310748","6706f1df15c2b9798b2b0977"
114,"6706f0ad90b652736e310748","6706f1e015c2b9798b2b0979"
115,"6706f0ad90b652736e310748","6706f1e015c2b9798b2b097a"
116,"6706f0ad90b652736e310748","6706f1de15c2b9798b2b0974"
117,"6706f0ad90b652736e310748","6706f1df15c2b9798b2b0976"
118,"6706f0ad90b652736e310748","6706f1e015c2b9798b2b0978"
119,"6706f0ad90b652736e310748","6706f02a9ded543374d12d91"
120,"6706f0ad90b652736e310748","6706f1df15c2b9798b2b0975"
121,"6706f0ae90b652736e310749","6706f1e715c2b9798b2b0985"
122,"6706f0ae90b652736e310749","6706f1e815c2b9798b2b0989"
123,"6706f0ae90b652736e310749","6706f02b9ded543374d12d93"
124,"6706f0ae90b652736e310749","6706f1e015c2b9798b2b0979"
125,"6706f0ae90b652736e310749","6706f1e715c2b9798b2b0987"
126,"6706f0ae90b652736e310749","6706f1e815c2b9798b2b0988"
127,"6706f0ae90b652736e310749","6706f1de15c2b9798b2b0974"
128,"6706f0ae90b652736e310749","6706f1e715c2b9798b2b0986"
129,"6706f02c9ded543374d12d95","6706f0d845fe7efa4ac730c8"
130,"6706f1f315c2b9798b2b098a","6706f0d845fe7efa4ac730c8"
247,"6706f20415c2b9798b2b09a5","6706f27c15c2b9798b2b0a2f"
132,"6706f1f615c2b9798b2b098e","6706f0dc45fe7efa4ac730ca"
133,"6706f02f9ded543374d12d9d","6706f0dc45fe7efa4ac730ca"
134,"6706f1f715c2b9798b2b098f","6706f0dc45fe7efa4ac730ca"
135,"6706f1f815c2b9798b2b0993","6706f0dc45fe7efa4ac730ca"
136,"6706f1f715c2b9798b2b0990","6706f0dc45fe7efa4ac730ca"
137,"6706f02c9ded543374d12d97","6706f0dc45fe7efa4ac730ca"
138,"6706f02c9ded543374d12d96","6706f0dc45fe7efa4ac730ca"
334,"6706f1f715c2b9798b2b0991","6706f26715c2b9798b2b0a0b"
140,"6706f1f615c2b9798b2b098d","6706f0dc45fe7efa4ac730ca"
241,"6706f1f915c2b9798b2b0994","6706f0dc45fe7efa4ac730ca"
244,"6706f20415c2b9798b2b09a4","6706f27515c2b9798b2b0a22"
273,"6706f20515c2b9798b2b09a8","6706f28b15c2b9798b2b0a49"
283,"6706f20915c2b9798b2b09ae","6706f29815c2b9798b2b0a5f"
146,"6706f20615c2b9798b2b09aa","6706f0de45fe7efa4ac730cd"
147,"6706f02c9ded543374d12d96","6706f0de45fe7efa4ac730cd"
149,"6706f20515c2b9798b2b09a7","6706f0de45fe7efa4ac730cd"
289,"6706f20e15c2b9798b2b09b4","6706f29d15c2b9798b2b0a68"
153,"6706f02c9ded543374d12d96","6706f0de45fe7efa4ac730ce"
154,"6706f20915c2b9798b2b09ad","6706f0de45fe7efa4ac730ce"
155,"6706f0a390b652736e310735","6706f0de45fe7efa4ac730ce"
157,"6706f02c9ded543374d12d96","6706f0df45fe7efa4ac730cf"
158,"6706f20e15c2b9798b2b09b3","6706f0df45fe7efa4ac730cf"
159,"6706f20d15c2b9798b2b09b2","6706f0df45fe7efa4ac730cf"
161,"6706f21115c2b9798b2b09b5","6706f0df45fe7efa4ac730d0"
198,"6706f23d15c2b9798b2b09de","6706f1d515c2b9798b2b0966"
163,"6706f02c9ded543374d12d96","6706f0df45fe7efa4ac730d0"
164,"6706f21215c2b9798b2b09b6","6706f0df45fe7efa4ac730d0"
165,"6706f21215c2b9798b2b09b7","6706f0df45fe7efa4ac730d0"
166,"6706f02c9ded543374d12d97","6706f0df45fe7efa4ac730d0"
167,"6706f0a490b652736e310736","6706f0df45fe7efa4ac730d0"
168,"6706f21715c2b9798b2b09be","6706f0e045fe7efa4ac730d1"
169,"6706f21815c2b9798b2b09bf","6706f0e045fe7efa4ac730d1"
170,"6706f0d345fe7efa4ac730bf","6706f0e045fe7efa4ac730d1"
308,"6706f21815c2b9798b2b09c0","6706f0e045fe7efa4ac730d1"
172,"6706f0d445fe7efa4ac730c0","6706f0e045fe7efa4ac730d1"
173,"6706f21515c2b9798b2b09b9","6706f0e045fe7efa4ac730d1"
174,"6706f0d245fe7efa4ac730bc","6706f0e045fe7efa4ac730d1"
316,"6706f2c315c2b9798b2b0a8c","6706f25815c2b9798b2b09f4"
176,"6706f02c9ded543374d12d96","6706f0e045fe7efa4ac730d1"
321,"6706f26015c2b9798b2b09ff","6706f2ca15c2b9798b2b0a94"
178,"6706f21715c2b9798b2b09bd","6706f0e045fe7efa4ac730d1"
179,"6706f21615c2b9798b2b09ba","6706f0e045fe7efa4ac730d1"
180,"6706f21915c2b9798b2b09c2","6706f0e045fe7efa4ac730d1"
181,"6706f21615c2b9798b2b09bb","6706f0e045fe7efa4ac730d1"
182,"6706f02c9ded543374d12d97","6706f0e045fe7efa4ac730d1"
183,"6706f21915c2b9798b2b09c1","6706f0e045fe7efa4ac730d1"
184,"6706f02f9ded543374d12d9d","6706f0e045fe7efa4ac730d1"
187,"6706f1cf15c2b9798b2b0960","6706f1ce15c2b9798b2b095f"
190,"6706f1cf15c2b9798b2b0961","6706f0df45fe7efa4ac730d0"
199,"6706f23c15c2b9798b2b09dc","6706f1d515c2b9798b2b0966"
200,"6706f23c15c2b9798b2b09dd","6706f1d515c2b9798b2b0966"
201,"6706f0a390b652736e310735","6706f1d515c2b9798b2b0966"
203,"6706f1e115c2b9798b2b097b","6706f24b15c2b9798b2b09e9"
204,"6706f1e115c2b9798b2b097b","6706f24b15c2b9798b2b09ea"
205,"6706f1e115c2b9798b2b097b","6706f24c15c2b9798b2b09ed"
206,"6706f1e115c2b9798b2b097b","6706f1e715c2b9798b2b0985"
207,"6706f1e115c2b9798b2b097b","6706f24b15c2b9798b2b09eb"
208,"6706f1e115c2b9798b2b097b","6706f02a9ded543374d12d90"
209,"6706f1e115c2b9798b2b097b","6706f1de15c2b9798b2b0974"
210,"6706f1e215c2b9798b2b097d","6706f25015c2b9798b2b09f0"
211,"6706f1f515c2b9798b2b098b","6706f0dc45fe7efa4ac730ca"
326,"6706f2cf15c2b9798b2b0a9e","6706f26615c2b9798b2b0a09"
213,"6706f1f515c2b9798b2b098b","6706f25915c2b9798b2b09f6"
214,"6706f1f515c2b9798b2b098b","6706f25915c2b9798b2b09f5"
215,"6706f1f615c2b9798b2b098c","6706f25c15c2b9798b2b09fc"
216,"6706f1f615c2b9798b2b098c","6706f25c15c2b9798b2b09fb"
217,"6706f1f615c2b9798b2b098c","6706f25d15c2b9798b2b09fd"
218,"6706f1f615c2b9798b2b098c","6706f0dc45fe7efa4ac730ca"
223,"6706f1f715c2b9798b2b0991","6706f26a15c2b9798b2b0a11"
224,"6706f1f715c2b9798b2b0991","6706f26915c2b9798b2b0a0f"
82,"6706f02d9ded543374d12d99","6706f02a9ded543374d12d90"
17,"6706f0329ded543374d12da7","6706f0299ded543374d12d8e"
83,"6706f02d9ded543374d12d99","6706f0ed45fe7efa4ac730dc"
228,"6706f1f715c2b9798b2b0991","6706f26815c2b9798b2b0a0c"
8,"6706f0329ded543374d12da7","6706f02a9ded543374d12d90"
229,"6706f1f715c2b9798b2b0991","6706f0dc45fe7efa4ac730ca"
10,"6706f0329ded543374d12da7","6706f0299ded543374d12d8f"
35,"6706f02e9ded543374d12d9c","6706f02b9ded543374d12d93"
62,"6706f02c9ded543374d12d95","6706f02b9ded543374d12d94"
230,"6706f1f715c2b9798b2b0991","6706f26915c2b9798b2b0a10"
14,"6706f0329ded543374d12da7","6706f02a9ded543374d12d92"
23,"6706f02e9ded543374d12d9c","6706f0299ded543374d12d8e"
25,"6706f0ac90b652736e310746","6706f02a9ded543374d12d91"
26,"6706f0ab90b652736e310744","6706f02a9ded543374d12d91"
84,"6706f02d9ded543374d12d99","6706f0ed45fe7efa4ac730dd"
28,"6706f0ac90b652736e310747","6706f02a9ded543374d12d91"
29,"6706f0ab90b652736e310745","6706f02a9ded543374d12d91"
85,"6706f02d9ded543374d12d99","6706f0ee45fe7efa4ac730e0"
233,"6706f1f815c2b9798b2b0992","6706f26e15c2b9798b2b0a19"
32,"6706f0329ded543374d12da7","6706f02a9ded543374d12d91"
33,"6706f02d9ded543374d12d98","6706f02a9ded543374d12d91"
34,"6706f0ae90b652736e31074a","6706f02a9ded543374d12d91"
36,"6706f0b290b652736e31074d","6706f02b9ded543374d12d93"
78,"6706f02c9ded543374d12d97","6706f0e545fe7efa4ac730d5"
38,"6706f02d9ded543374d12d98","6706f02b9ded543374d12d93"
39,"6706f0b590b652736e310751","6706f02b9ded543374d12d93"
40,"6706f0ae90b652736e31074a","6706f02b9ded543374d12d93"
41,"6706f02f9ded543374d12d9e","6706f02b9ded543374d12d93"
42,"6706f0b490b652736e31074f","6706f02b9ded543374d12d93"
43,"6706f0b590b652736e310750","6706f02b9ded543374d12d93"
44,"6706f0b390b652736e31074e","6706f02b9ded543374d12d93"
234,"6706f1f815c2b9798b2b0992","6706f26d15c2b9798b2b0a16"
235,"6706f1f815c2b9798b2b0992","6706f0dc45fe7efa4ac730ca"
47,"6706f0329ded543374d12da7","6706f02b9ded543374d12d93"
86,"6706f02d9ded543374d12d99","6706f0ec45fe7efa4ac730db"
49,"6706f0d145fe7efa4ac730bb","6706f02b9ded543374d12d94"
50,"6706f0329ded543374d12da7","6706f02b9ded543374d12d94"
51,"6706f0d445fe7efa4ac730c0","6706f02b9ded543374d12d94"
52,"6706f0d245fe7efa4ac730bd","6706f02b9ded543374d12d94"
53,"6706f02e9ded543374d12d9c","6706f02b9ded543374d12d94"
87,"6706f02d9ded543374d12d99","6706f0ed45fe7efa4ac730de"
