"ID","NAME","LINK","TYPE","EXTRAS","DISCOVERED","ERROR"
"6706f5fc15c2b9798b2b0e96","Alex Ligertwood","Alex Ligertwood","person",{"birth_place":"[[Glasgow]], Scotland","associated_acts":[{"link":"The Senate (band)","name":"The Senate"},{"link":"the Jeff Beck Group","name":"the Jeff Beck Group"},{"link":"Brian Auger","name":"Brian Auger"},{"link":"Santana (band)","name":"Santana"},{"link":"Go Ahead (band)","name":"Go Ahead"},{"link":"Average White Band","name":"Average White Band"},{"link":"World Classic Rockers","name":"World Classic Rockers"},{"link":"El Chicano","name":"El Chicano"},{"link":"Dixie Dregs","name":"Dixie Dregs"},{"link":"Steve Morse Band","name":"Steve Morse Band"},{"link":":fr:Troc (groupe)","name":"Troc"},{"link":"Spyro Gyra","name":"Spyro Gyra"}],"birth_date":"{{birth date and age|1946|12|18|df=y}}","origin":"[[Chipping Barnet]], England","caption":"Ligertwood at the World Classic Rockers Concert, 23 June 2007 Camarillo, California","instruments":[{"name":"Vocals"},{"name":"guitar"},{"name":"drums"}],"years_active":"1965–present","occupations":"Musician","landscape":"yes","birth_name":"Alexander John Ligertwood","image":"Alex Ligertwood.jpg"},true,""
"67082e6f5f2a9b4b88ae08a9","Alex Newport","","person",null,false,""
"677813d92ad4b9f331704b20","Alex Van Halen","Alex Van Halen","person",null,false,""
"6706f02a9ded543374d12d91","Alfredo Hernández","Alfredo Hernández","person",{"instrument":[{"link":"Drum","name":"Drum"}],"occupation":[{"name":"Musician"}],"years_active":"1985–present"},true,""
"6706f5ac15c2b9798b2b0e31","Alice Cooper","Alice Cooper","person",{"image":"Alice Cooper 2011.jpg","caption":"Cooper in 2011","birth_name":"Vincent Damon Furnier","birth_date":"{{birth date and age|1948|2|4}}","birth_place":"[[Detroit]], Michigan, U.S.","occupation":[{"name":"Singer"},{"name":"songwriter"},{"name":"actor"}],"years_active":"1964–present","spouse":"{{marriage|[[Sheryl Cooper|Sheryl Goddard]]|1976}}","origin":"[[Phoenix, Arizona]], U.S.","website":"{{URL|alicecooper.com}}"},true,""
"67082e9d5f2a9b4b88ae08d7","Alice Cooper (band)","Alice Cooper (band)","group_or_band",null,false,""
"67082e9c5f2a9b4b88ae08d6","Alice Cooper (solo)","","group_or_band",null,false,""
"67083167f5951699062f8feb","Alice In Chains","Alice In Chains","group_or_band",null,false,""
"6706f68b15c2b9798b2b0f1f","Alice N' Chains","Alice N' Chains","group_or_band",{"image":"Alice N' Chains 1987 photo.jpg","caption":"1987 promo photo, from left: [[Nick Pollock]], [[James Bergstrom]], [[Layne Staley]], [[Johnny Bacolas]]","image_upright":"1.2","origin":"[[Seattle]], [[Washington (state)|Washington]], U.S.","years_active":"1986–1987"},true,""
"6706f3af15c2b9798b2b0bbb","Alice in Chains","Alice in Chains","group_or_band",{"image":"Alice in Chains Live Leeds 2018.jpg","caption":"Alice in Chains performing in [[Leeds]], England in 2018. From left to right: [[Mike Inez]], [[William DuVall]], [[Sean Kinney]] and [[Jerry Cantrell]].","alt":"The band performing onstage","landscape":"Yes","origin":"[[Seattle]], [[Washington (state)|Washington]], U.S.","discography":"[[Alice in Chains discography]]","years_active":"{{flatlist|\n* 1987–2002\n* 2005–present\n}}","website":"{{URL|aliceinchains.com}}"},true,""
